regressor,abs_mean,std,min,max,range
log_transactions,0.028313208021072924,0.02618770165766868,-0.01843595375485626,0.07808004457697927,0.09651599833183552
log_transactions_lag_1,0.002252998799390274,0.0020633353324332293,-0.0013209342848055268,0.006205501002970796,0.0075264352877763225
july_15_dummy,0.0022323510962880357,0.007368411694378653,-0.03632155388535506,0.00017707034191519834,0.03649862422727026
log_transactions_lag_28,0.001854247289952837,0.0012096273078000552,0.00022286759756461166,0.004911973692629118,0.004689106095064507
log_transactions_lag_7,0.0016922775924932893,0.0012864955041065104,-0.003915502422441971,0.0004806803456668549,0.004396182768108826
log_transactions_lag_14,0.000905460384407802,0.0006698644405684917,-0.00014071529359527962,0.002483788194766955,0.0026245034883622346
christmas_dummy,0.0007028349665325751,1.100030778697472e-19,-0.000702834966532575,-0.000702834966532575,0.0
